HWs,CPU,Mem,Netz
HW 1,50,50000,5000
HW 2,50,50000,5000
HW 3,50,50000,5000
HW 4,50,50000,5000
HW 5,50,50000,5000
HW 6,50,50000,5000
HW 7,50,50000,5000
HW 8,50,50000,5000
HW 9,50,50000,5000
HW 10,50,50000,5000
HW 11,50,50000,5000
HW 12,50,50000,5000
HW 13,50,50000,5000
HW 14,50,50000,5000
HW 15,50,50000,5000
HW 16,50,50000,5000
HW 17,50,50000,5000
HW 18,50,50000,5000
HW 19,50,50000,5000
HW 20,50,50000,5000
HW 21,50,50000,5000
HW 22,50,50000,5000
HW 23,50,50000,5000
HW 24,50,50000,5000
HW 25,50,50000,5000
HW 26,50,50000,5000
HW 27,50,50000,5000
HW 28,50,50000,5000
HW 29,50,50000,5000
HW 30,50,50000,5000
HW 31,50,50000,5000
HW 32,50,50000,5000
HW 33,50,50000,5000
HW 34,50,50000,5000
HW 35,50,50000,5000
HW 36,50,50000,5000
HW 37,50,50000,5000
HW 38,50,50000,5000
HW 39,50,50000,5000
HW 40,50,50000,5000
HW 41,50,50000,5000
HW 42,50,50000,5000
HW 43,50,50000,5000
HW 44,50,50000,5000
HW 45,50,50000,5000
HW 46,50,50000,5000
HW 47,50,50000,5000
HW 48,50,50000,5000
HW 49,50,50000,5000
HW 50,50,50000,5000
HW 51,50,50000,5000
HW 52,50,50000,5000
HW 53,50,50000,5000
HW 54,50,50000,5000
HW 55,50,50000,5000
HW 56,50,50000,5000
HW 57,50,50000,5000
HW 58,50,50000,5000
HW 59,50,50000,5000
HW 60,50,50000,5000
HW 61,50,50000,5000
HW 62,50,50000,5000
HW 63,50,50000,5000
HW 64,50,50000,5000
HW 65,50,50000,5000
HW 66,50,50000,5000
HW 67,50,50000,5000
HW 68,50,50000,5000
HW 69,50,50000,5000
HW 70,50,50000,5000
HW 71,50,50000,5000
HW 72,50,50000,5000
HW 73,50,50000,5000
HW 74,50,50000,5000
HW 75,50,50000,5000
HW 76,50,50000,5000
HW 77,50,50000,5000
HW 78,50,50000,5000
HW 79,50,50000,5000
HW 80,50,50000,5000
HW 81,50,50000,5000
HW 82,50,50000,5000
HW 83,50,50000,5000
HW 84,50,50000,5000
HW 85,50,50000,5000
HW 86,50,50000,5000
HW 87,50,50000,5000
HW 88,50,50000,5000
HW 89,50,50000,5000
HW 90,50,50000,5000
HW 91,50,50000,5000
HW 92,50,50000,5000
HW 93,50,50000,5000
HW 94,50,50000,5000
HW 95,50,50000,5000
HW 96,50,50000,5000
HW 97,50,50000,5000
HW 98,50,50000,5000
HW 99,50,50000,5000
HW 100,50,50000,5000
